date,text,user,compound
2013-04-22 15:47:24+00:00,Which struggling slugger will rebound in Week 4? Make your MLB picks:,nytimes,-0.4215
2013-04-29 16:05:44+00:00,Which lefty will strike out the most batters in Week 5? Test your MLB predictive powers: http://nyti.ms/12cAaqA,nytimes,-0.128
2013-07-08 19:09:58+00:00,50 Cent DROPPED from MLB All-Star Bash After Domestic Violence Charge http://tmz.me/1dbfFjJ,TMZ,-0.6249
2013-08-23 03:29:36+00:00,MLB's Ryan Braun apologizes: 'I have no one to blame but myself.' http://on.cnn.com/16SRuIL,CNN,-0.1406
2013-08-01 09:51:28+00:00,"Alex Rodriguez, #MLB reportedly negotiating deal to avoid lifetime ban http://fxn.ws/16HwlNx",FoxNews,-0.7003
2014-10-05 04:02:56+00:00,"BREAKING: San Francisco Giants defeat Washington Nationals in NLDS Game 2, longest game by time in MLB postseason history",FoxNews,-0.4588
2014-10-30 18:49:06+00:00,Former MLB pitcher Randy Johnson headed to Slipknot's #Knotfest to shoot photos for us. Here's what he sent back: http://rol.st/1wOkduP,RollingStone,-0.34
2016-07-13 03:28:00+00:00,"JUST IN: American League defeats National League, 4-2, in MLB #AllStarGame.",FoxNews,-0.3182
2020-07-27 20:15:13+00:00,"The Marlins' COVID-19 outbreak is really bad, and exactly what MLB signed up for https://yhoo.it/304Jipn via @YahooSports",YahooNews,-0.5849
2020-10-28 19:30:02+00:00,"MLB Says Justin Turner 'Refused to Comply' with COVID Protocol, Put Everyone At Risk",TMZ,-0.5106
2020-10-03 16:42:09+00:00,"""Cardinal Nation lost another one"": MLB players remember Hall of Famer Bob Gibson https://wapo.st/30sSQua",washingtonpost,-0.3182
2020-10-22 06:32:04+00:00,"MLB Star Tommy Pham Stabbing Suspect Still On The Loose, Cops Say http://tmz.me/iU7rO4f",TMZ,-0.5423
2020-10-13 11:07:15+00:00,'Traumatic and eye-opening experience': MLB star stabbed outside gentlemen's club,FoxNews,-0.765
2022-08-12 23:13:50+00:00,Shocking news in the baseball world ... Fernando Tatis Jr. -- one of the best players in the MLB -- has just been suspended 80 games.,TMZ,-0.1531
2022-08-26 23:46:03+00:00,Hated MLB collector Zack Hample whines after having to follow stadium rules https://trib.al/GWm8fZs,nypost,-0.7906
2022-08-15 00:20:27+00:00,The 31-year-old outfielder who spent more than a decade working to get to the majors recorded a hit and a stolen base in his MLB debut for the Rockies.,washingtonpost,-0.4939
2022-10-10 22:10:05+00:00,"From @TheAthletic:  Veteran broadcaster Bob Costas is returning to the booth for his first full MLB playoff series since ""Meet the Parents"" was the No. 1 movie in America.",nytimes,-0.296
2022-10-30 05:01:34+00:00,"Athletics likely to leave Oakland for Las Vegas, MLB commissioner says https://trib.al/eOpotk0",nypost,-0.0516
2022-10-29 23:00:04+00:00,"Athletics likely to leave Oakland for Las Vegas, MLB commissioner says https://fxn.ws/3fhcpAf",FoxNews,-0.0516
2022-10-30 02:30:36+00:00,MLB stops Astros' Martin Maldonado from using illegal bat given to him by Albert Pujols https://trib.al/vhtVnGg,nypost,-0.6369
2021-04-02 19:27:04+00:00,"Breaking News: Rebuking Georgia’s new elections law, Major League Baseball moved this summer’s All-Star Game from Atlanta. The move comes after days of pressure from civil rights groups and the MLB Players Association.",nytimes,-0.296
2021-04-01 11:00:09+00:00,President Biden said he would “strongly support” MLB moving its All-Star Game from Atlanta. The executive director of the players’ union had said he was open to discussing such a move after Georgia Republicans passed a law to restrict voting access.,nytimes,-0.3818
2023-10-16 12:45:07+00:00,"MLB, Team Israel pitcher saddened over Hamas attack reactions: ‘Not a good showing for humanity’",FoxNews,-0.5574
