Titl,Description,Player Name,URL,PublishedAt
Memphis Grizzlies Star Ja Morant Given New Nickname Amid Gun Scandal,Ja Morant has been suspended by the NBA for at least two games after it was found he was in possession of a gun on team premises—and the jokes are flying,amid gun,https://www.newsweek.com/memphis-grizzlies-star-ja-morant-given-new-nickname-amid-gun-scandal-1786637,2023-03-09T13:08:39Z
"“Didn’t Just Go Low, She Hit Bottom”: 19x NBA All-Star Kareem Abdul-Jabbar Mortifies $10M Worth Actress Over Huge Scandal",Former NBA champion Kareem Abdul-Jabbar gives his verdict on popular reality TV actress leaving a show after 8 years of drama.,over huge,https://www.essentiallysports.com/nba-basketball-news-didnt-just-go-low-she-hit-bottom-19x-nba-all-star-kareem-abdul-jabbar-mortifies-10m-worth-actress-over-huge-scandal/,2023-01-13T15:10:28Z
NBA Legend Kareem Abdul-Jabbar Demands Stern Action “Against All Abusers” After Megan Rapinoe’s “Horrifying” Take Amid NWSL Scandal,Kareem Abdul-Jabbar has responded strongly to the NWSL abuse scandal and wants a stern action on the people involved. Read more here.,amid nwsl,https://www.essentiallysports.com/soccer-football-nba-news-nba-legend-kareem-abdul-jabbar-demands-stern-action-against-all-abusers-after-megan-rapinoes-horrifying-take-amid-nwsl-scandal/,2022-12-19T17:00:30Z
Nia Long and Ime Udoka break up after cheating scandal,Nia Long and Ime Udoka broke up after 13 years together following the NBA coach's alleged affair. They started dating in 2009 and welcomed their son in 2011.,after cheating,https://pagesix.com/2022/12/06/nia-long-and-ime-udoka-break-up-after-cheating-scandal/,2022-12-06T22:46:06Z
“I Like Her”: Shaquille O’Neal Admits Friendship with 45 Year Old Actress Caught in Ime Udoka and Celtics Crossfire,NBA legend Shaquille O'Neal recently talked about the cheating scandal involving Celtics head coach Ime Udoka. Read more.,Unknown,https://www.essentiallysports.com/nba-basketball-news-i-like-her-shaquille-oneal-admits-friendship-with-45-year-old-actress-caught-in-ime-udoka-and-celtics-crossfire/,2022-09-30T14:30:16Z
"Shaquille O’Neal, Who Called Himself a Serial Cheater, Gives Final Judgment on Adam Levine’s Cheating Scandal with a Strong 7 Word Response",NBA legend Shaquille O'Neal has finally opened up about his dear friend Adam Levine's cheating scandal ahead of his chairty gala.,levine’s cheating,https://www.essentiallysports.com/nba-basketball-news-shaquille-oneal-who-called-himself-a-serial-cheater-gives-final-judgment-on-adam-levines-cheating-scandal-with-a-strong-7-word-response/,2022-09-30T14:15:03Z
Celtics To Suspend Ime Udoka For An Entire Year Amid Nia Long Cheating Scandal,Udoka's relationship with a Celtics staffer was against the organization's rules. Ime Udoka is currently the biggest story in the entire NBA right now due to...,long cheating,https://www.hotnewhiphop.com/celtics-to-suspend-ime-udoka-for-an-entire-year-amid-nia-long-cheating-scandal-news.158302.html,2022-09-22T14:45:55Z
"Suns Owner Sarver Plans to Sell NBA, WNBA Teams Amid Harassment Scandal","Suns Owner Sarver Plans to Sell NBA, WNBA Teams Amid Harassment Scandal",amid harassment,https://www.mercurynews.com/2022/09/21/suns-owner-sarver-plans-to-sell-nba-wnba-teams-amid-harassment-scandal/,2022-09-21T17:34:39Z
Phoenix Suns and Mercury owner Robert Sarver says he is seeking buyers for NBA and WBNA teams amid scandal,An investigation found Sarver used racist slurs and harassed female employees.,teams amid,https://fortune.com/2022/09/21/phoenix-suns-mercury-owner-robert-sarver-nba-wnba-harassment-racial-slur-scandal/,2022-09-21T04:00:00Z
Stephen Curry says he regrets not boycotting 2014 playoff game against Clippers amid Donald Sterling scandal,Sterling was ultimately removed as owner of the Clippers and given a lifetime ban by the NBA,donald sterling,https://www.cbssports.com/nba/news/stephen-curry-says-he-regrets-not-boycotting-2014-playoff-game-against-clippers-amid-donald-sterling-scandal/,2022-09-13T22:52:05Z
